"author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Lucas, Karl Wilhelm.","","","0.0","{'authorized_name': 'lucas, bishop of túy, -approximately 1249', 'author_id': 'A4371'}","0.9356204271316528"
"Portus, Aemilius, 1550-1614 or 1615","","","0.0","{'authorized_name': 'alanus, de insulis', 'author_id': 'A4458'}","0.23135995864868164"
"Muret, Marc-Antoine, 1526-1585","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}","1.0","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}","0.9999701976776123"
"Muret, Marc-Antoine, 1526-1585","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}","1.0","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}","0.9999701976776123"
"Klausen, Rudolf Heinrich, 1807-1840.","","","0.0","{'authorized_name': 'schöll, rudolf, 1844-1893', 'author_id': 'A5974'}","0.7980411052703857"
"Martin, Bernard, 1574-1639.","","","0.0","{'authorized_name': 'andreas, bernard, active 1500', 'author_id': 'A4126'}","0.9608023762702942"
"Wesseling, Petrus, 1692-1764","","","0.0","{'authorized_name': 'wessely, carl, 1860-1931', 'author_id': 'A3348'}","0.9987534284591675"
"Hanow, Rudolf, 1806-1871.","","","0.0","{'authorized_name': 'schottennius, hermannus', 'author_id': 'A5620'}","0.2898063659667969"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9999052286148071"
"Curtius Rufus, Quintus","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","1.0","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9995243549346924"
